district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases
Thiruvananthapuram,142,137,5,2,1,0,0,1
Kollam,227,216,11,2,0,0,0,0
Pathanamthitta,896,862,34,2,9,0,0,9
Idukki,61,61,0,0,0,0,0,0
Kottayam,409,398,11,0,2,0,0,2
Alappuzha,161,140,21,5,0,1,0,1
Ernakulam,359,322,37,16,3,0,0,3
Thrissur,843,770,73,8,1,1,0,1
Palakkad,119,89,30,8,0,0,0,0
Malappuram,132,103,29,13,0,0,0,0
Kozhikode,483,476,7,3,0,0,0,0
Wayanad,38,38,0,0,0,0,0,0
Kannur,151,144,7,4,1,0,0,1
Kasaragod,159,154,5,2,0,1,0,1
Total,4180,3910,270,65,17,3,0,19
